sleTy,sleCode,creatDate,ccKdfshCode,pc,accmltPc,accmltYr,ccKdfshName
산지,SLE03,2020-01-01,KDFSH01,0.0,0,0,고등어
산지,SLE03,2020-01-02,KDFSH01,1541.0,1541,0,고등어
산지,SLE03,2020-01-03,KDFSH01,700.0,1121,0,고등어
산지,SLE03,2020-01-04,KDFSH01,1696.0,1312,0,고등어
산지,SLE03,2020-01-05,KDFSH01,0.0,1312,0,고등어
산지,SLE03,2020-01-06,KDFSH01,4761.0,2175,0,고등어
산지,SLE03,2020-01-07,KDFSH01,1684.0,2076,0,고등어
산지,SLE03,2020-01-08,KDFSH01,1621.0,2001,0,고등어
산지,SLE03,2020-01-09,KDFSH01,1385.0,1913,0,고등어
산지,SLE03,2020-01-10,KDFSH01,2688.0,2010,0,고등어
산지,SLE03,2020-01-11,KDFSH01,1562.0,1960,0,고등어
산지,SLE03,2020-01-12,KDFSH01,0.0,1960,0,고등어
산지,SLE03,2020-01-13,KDFSH01,2873.0,2051,0,고등어
산지,SLE03,2020-01-14,KDFSH01,0.0,2051,0,고등어
산지,SLE03,2020-01-15,KDFSH01,5030.0,2322,0,고등어
산지,SLE03,2020-01-16,KDFSH01,5783.0,2610,0,고등어
산지,SLE03,2020-01-17,KDFSH01,2058.0,2568,0,고등어
산지,SLE03,2020-01-18,KDFSH01,2115.0,2536,0,고등어
산지,SLE03,2020-01-19,KDFSH01,3114.0,2574,0,고등어
산지,SLE03,2020-01-20,KDFSH01,2138.0,2547,0,고등어
산지,SLE03,2020-01-21,KDFSH01,2123.0,2522,0,고등어
산지,SLE03,2020-01-22,KDFSH01,1986.0,2492,0,고등어
산지,SLE03,2020-01-23,KDFSH01,1800.0,2456,0,고등어
산지,SLE03,2020-01-24,KDFSH01,0.0,2456,0,고등어
산지,SLE03,2020-01-25,KDFSH01,0.0,2456,0,고등어
산지,SLE03,2020-01-26,KDFSH01,0.0,2456,0,고등어
산지,SLE03,2020-01-27,KDFSH01,0.0,2456,0,고등어
산지,SLE03,2020-01-28,KDFSH01,0.0,2456,0,고등어
산지,SLE03,2020-01-29,KDFSH01,0.0,2456,0,고등어
산지,SLE03,2020-01-30,KDFSH01,0.0,2456,0,고등어
산지,SLE03,2020-01-31,KDFSH01,1474.0,1474,0,고등어
산지,SLE03,2020-02-01,KDFSH01,0.0,1474,0,고등어
산지,SLE03,2020-02-02,KDFSH01,0.0,1474,0,고등어
산지,SLE03,2020-02-03,KDFSH01,1621.0,1548,0,고등어
산지,SLE03,2020-02-04,KDFSH01,2405.0,1833,0,고등어
산지,SLE03,2020-02-05,KDFSH01,3267.0,2192,0,고등어
산지,SLE03,2020-02-06,KDFSH01,2260.0,2205,0,고등어
산지,SLE03,2020-02-07,KDFSH01,2317.0,2224,0,고등어
산지,SLE03,2020-02-08,KDFSH01,1594.0,2134,0,고등어
산지,SLE03,2020-02-09,KDFSH01,0.0,2134,0,고등어
산지,SLE03,2020-02-10,KDFSH01,1470.0,2051,0,고등어
산지,SLE03,2020-02-11,KDFSH01,0.0,2051,0,고등어
산지,SLE03,2020-02-12,KDFSH01,2703.0,2123,0,고등어
산지,SLE03,2020-02-13,KDFSH01,0.0,2123,0,고등어
산지,SLE03,2020-02-14,KDFSH01,0.0,2123,0,고등어
산지,SLE03,2020-02-15,KDFSH01,3485.0,2260,0,고등어
산지,SLE03,2020-02-16,KDFSH01,0.0,2260,0,고등어
산지,SLE03,2020-02-17,KDFSH01,3883.0,2407,0,고등어
산지,SLE03,2020-02-18,KDFSH01,2690.0,2431,0,고등어
산지,SLE03,2020-02-19,KDFSH01,4944.0,2624,0,고등어
산지,SLE03,2020-02-20,KDFSH01,0.0,2624,0,고등어
산지,SLE03,2020-02-21,KDFSH01,2178.0,2592,0,고등어
산지,SLE03,2020-02-22,KDFSH01,0.0,2592,0,고등어
산지,SLE03,2020-02-23,KDFSH01,0.0,2592,0,고등어
산지,SLE03,2020-02-24,KDFSH01,3486.0,2652,0,고등어
산지,SLE03,2020-02-25,KDFSH01,3226.0,2688,0,고등어
산지,SLE03,2020-02-26,KDFSH01,3055.0,2709,0,고등어
산지,SLE03,2020-02-27,KDFSH01,0.0,2709,0,고등어
산지,SLE03,2020-02-28,KDFSH01,0.0,2709,0,고등어
산지,SLE03,2020-02-29,KDFSH01,0.0,2709,0,고등어
산지,SLE03,2020-03-01,KDFSH01,0.0,0,2067,고등어
산지,SLE03,2020-03-02,KDFSH01,2744.0,2744,2188,고등어
산지,SLE03,2020-03-03,KDFSH01,2357.0,2551,0,고등어
산지,SLE03,2020-03-04,KDFSH01,3089.0,2730,2690,고등어
산지,SLE03,2020-03-05,KDFSH01,2856.0,2762,3259,고등어
산지,SLE03,2020-03-06,KDFSH01,2842.0,2778,4142,고등어
산지,SLE03,2020-03-07,KDFSH01,2444.0,2722,4356,고등어
산지,SLE03,2020-03-08,KDFSH01,0.0,2722,4124,고등어
산지,SLE03,2020-03-09,KDFSH01,3222.0,2793,0,고등어
산지,SLE03,2020-03-10,KDFSH01,3125.0,2835,0,고등어
산지,SLE03,2020-03-11,KDFSH01,2703.0,2820,4204,고등어
산지,SLE03,2020-03-12,KDFSH01,0.0,2820,4218,고등어
산지,SLE03,2020-03-13,KDFSH01,3321.0,2870,0,고등어
산지,SLE03,2020-03-14,KDFSH01,0.0,2870,0,고등어
산지,SLE03,2020-03-15,KDFSH01,0.0,2870,0,고등어
산지,SLE03,2020-03-16,KDFSH01,3977.0,2971,0,고등어
산지,SLE03,2020-03-17,KDFSH01,0.0,2971,0,고등어
산지,SLE03,2020-03-18,KDFSH01,5402.0,3174,4213,고등어
산지,SLE03,2020-03-19,KDFSH01,5565.0,3357,4190,고등어
산지,SLE03,2020-03-20,KDFSH01,8135.0,3699,4247,고등어
산지,SLE03,2020-03-21,KDFSH01,0.0,3699,4279,고등어
산지,SLE03,2020-03-22,KDFSH01,0.0,3699,0,고등어
산지,SLE03,2020-03-23,KDFSH01,4683.0,3764,0,고등어
산지,SLE03,2020-03-24,KDFSH01,2172.0,3665,0,고등어
산지,SLE03,2020-03-25,KDFSH01,3269.0,3642,0,고등어
산지,SLE03,2020-03-26,KDFSH01,3302.0,3623,0,고등어
산지,SLE03,2020-03-27,KDFSH01,2989.0,3589,4487,고등어
산지,SLE03,2020-03-28,KDFSH01,0.0,3589,4474,고등어
산지,SLE03,2020-03-29,KDFSH01,0.0,3589,4540,고등어
산지,SLE03,2020-03-30,KDFSH01,2528.0,3536,0,고등어
산지,SLE03,2020-03-31,KDFSH01,4776.0,4776,0,고등어
산지,SLE03,2020-04-01,KDFSH01,5295.0,5036,5158,고등어
산지,SLE03,2020-04-02,KDFSH01,4951.0,5007,0,고등어
산지,SLE03,2020-04-03,KDFSH01,4633.0,4914,5293,고등어
산지,SLE03,2020-04-04,KDFSH01,4409.0,4813,6339,고등어
산지,SLE03,2020-04-05,KDFSH01,0.0,4813,6055,고등어
산지,SLE03,2020-04-06,KDFSH01,3206.0,4545,0,고등어
산지,SLE03,2020-04-07,KDFSH01,2279.0,4221,0,고등어
산지,SLE03,2020-04-08,KDFSH01,0.0,4221,5605,고등어
산지,SLE03,2020-04-09,KDFSH01,3865.0,4177,5296,고등어
산지,SLE03,2020-04-10,KDFSH01,2548.0,3996,5565,고등어
산지,SLE03,2020-04-11,KDFSH01,0.0,3996,5062,고등어
산지,SLE03,2020-04-12,KDFSH01,0.0,3996,4741,고등어
산지,SLE03,2020-04-13,KDFSH01,0.0,3996,0,고등어
산지,SLE03,2020-04-14,KDFSH01,0.0,3996,0,고등어
산지,SLE03,2020-04-15,KDFSH01,0.0,3996,4610,고등어
산지,SLE03,2020-04-16,KDFSH01,0.0,3996,4426,고등어
산지,SLE03,2020-04-17,KDFSH01,0.0,3996,4622,고등어
산지,SLE03,2020-04-18,KDFSH01,4814.0,4078,4699,고등어
산지,SLE03,2020-04-19,KDFSH01,0.0,4078,4632,고등어
산지,SLE03,2020-04-20,KDFSH01,0.0,4078,0,고등어
산지,SLE03,2020-04-21,KDFSH01,2574.0,3941,0,고등어
산지,SLE03,2020-04-22,KDFSH01,0.0,3941,0,고등어
산지,SLE03,2020-04-23,KDFSH01,5792.0,4095,0,고등어
산지,SLE03,2020-04-24,KDFSH01,0.0,4095,0,고등어
산지,SLE03,2020-04-25,KDFSH01,0.0,4095,0,고등어
산지,SLE03,2020-04-26,KDFSH01,0.0,4095,0,고등어
산지,SLE03,2020-04-27,KDFSH01,0.0,4095,0,고등어
산지,SLE03,2020-04-28,KDFSH01,0.0,4095,0,고등어
산지,SLE03,2020-04-29,KDFSH01,2765.0,3993,0,고등어
산지,SLE03,2020-04-30,KDFSH01,0.0,0,0,고등어
산지,SLE03,2020-05-01,KDFSH01,0.0,0,0,고등어
산지,SLE03,2020-05-02,KDFSH01,3475.0,3475,6768,고등어
산지,SLE03,2020-05-03,KDFSH01,0.0,3475,0,고등어
산지,SLE03,2020-05-04,KDFSH01,3768.0,3622,0,고등어
산지,SLE03,2020-05-05,KDFSH01,0.0,3622,0,고등어
산지,SLE03,2020-05-06,KDFSH01,0.0,3622,0,고등어
산지,SLE03,2020-05-07,KDFSH01,0.0,3622,0,고등어
산지,SLE03,2020-05-08,KDFSH01,0.0,3622,0,고등어
산지,SLE03,2020-05-09,KDFSH01,97300.0,34848,0,고등어
산지,SLE03,2020-05-10,KDFSH01,0.0,34848,0,고등어
산지,SLE03,2020-05-11,KDFSH01,0.0,34848,0,고등어
산지,SLE03,2020-05-12,KDFSH01,0.0,34848,0,고등어
산지,SLE03,2020-05-13,KDFSH01,0.0,34848,7006,고등어
산지,SLE03,2020-05-14,KDFSH01,0.0,34848,0,고등어
산지,SLE03,2020-05-15,KDFSH01,0.0,34848,0,고등어
산지,SLE03,2020-05-16,KDFSH01,4954.0,27374,0,고등어
산지,SLE03,2020-05-17,KDFSH01,0.0,27374,0,고등어
산지,SLE03,2020-05-18,KDFSH01,0.0,27374,0,고등어
산지,SLE03,2020-05-19,KDFSH01,6054.0,23110,0,고등어
산지,SLE03,2020-05-20,KDFSH01,0.0,23110,7811,고등어
산지,SLE03,2020-05-21,KDFSH01,0.0,23110,0,고등어
산지,SLE03,2020-05-22,KDFSH01,0.0,23110,6032,고등어
산지,SLE03,2020-05-23,KDFSH01,0.0,23110,5798,고등어
산지,SLE03,2020-05-24,KDFSH01,0.0,23110,0,고등어
산지,SLE03,2020-05-25,KDFSH01,8630.0,20697,0,고등어
산지,SLE03,2020-05-26,KDFSH01,0.0,20697,0,고등어
산지,SLE03,2020-05-27,KDFSH01,4690.0,18410,0,고등어
산지,SLE03,2020-05-28,KDFSH01,4272.0,16643,0,고등어
산지,SLE03,2020-05-29,KDFSH01,4915.0,15340,0,고등어
산지,SLE03,2020-05-30,KDFSH01,3068.0,3068,0,고등어
산지,SLE03,2020-05-31,KDFSH01,0.0,3068,0,고등어
산지,SLE03,2020-06-01,KDFSH01,2186.0,2627,0,고등어
산지,SLE03,2020-06-02,KDFSH01,5355.0,3536,0,고등어
산지,SLE03,2020-06-03,KDFSH01,4266.0,3719,5253,고등어
산지,SLE03,2020-06-04,KDFSH01,3403.0,3656,0,고등어
산지,SLE03,2020-06-05,KDFSH01,5385.0,3944,0,고등어
산지,SLE03,2020-06-06,KDFSH01,3325.0,3855,0,고등어
산지,SLE03,2020-06-07,KDFSH01,0.0,3855,0,고등어
산지,SLE03,2020-06-08,KDFSH01,4974.0,3995,0,고등어
산지,SLE03,2020-06-09,KDFSH01,6467.0,4270,0,고등어
산지,SLE03,2020-06-10,KDFSH01,9923.0,4835,0,고등어
산지,SLE03,2020-06-11,KDFSH01,9296.0,5241,0,고등어
산지,SLE03,2020-06-12,KDFSH01,5773.0,5285,0,고등어
산지,SLE03,2020-06-13,KDFSH01,8224.0,5511,0,고등어
산지,SLE03,2020-06-14,KDFSH01,0.0,5511,0,고등어
산지,SLE03,2020-06-15,KDFSH01,6433.0,5577,0,고등어
산지,SLE03,2020-06-16,KDFSH01,0.0,5577,0,고등어
산지,SLE03,2020-06-17,KDFSH01,7022.0,5673,0,고등어
산지,SLE03,2020-06-18,KDFSH01,6711.0,5738,0,고등어
산지,SLE03,2020-06-19,KDFSH01,10352.0,6010,0,고등어
산지,SLE03,2020-06-20,KDFSH01,5839.0,6000,0,고등어
산지,SLE03,2020-06-21,KDFSH01,0.0,6000,0,고등어
산지,SLE03,2020-06-22,KDFSH01,6062.0,6003,0,고등어
산지,SLE03,2020-06-23,KDFSH01,9002.0,6153,0,고등어
산지,SLE03,2020-06-24,KDFSH01,5646.0,6129,7839,고등어
산지,SLE03,2020-06-25,KDFSH01,3156.0,5994,0,고등어
산지,SLE03,2020-06-26,KDFSH01,4458.0,5927,9484,고등어
산지,SLE03,2020-06-27,KDFSH01,5409.0,5906,0,고등어
산지,SLE03,2020-06-28,KDFSH01,0.0,5906,0,고등어
산지,SLE03,2020-06-29,KDFSH01,2400.0,2400,0,고등어
산지,SLE03,2020-06-30,KDFSH01,2699.0,2550,0,고등어
산지,SLE03,2020-07-01,KDFSH01,0.0,2550,0,고등어
산지,SLE03,2020-07-02,KDFSH01,3.0,1701,0,고등어
산지,SLE03,2020-07-03,KDFSH01,5466.0,2642,927,고등어
산지,SLE03,2020-07-04,KDFSH01,4221.0,2958,0,고등어
산지,SLE03,2020-07-05,KDFSH01,0.0,2958,0,고등어
산지,SLE03,2020-07-06,KDFSH01,2722.0,2919,0,고등어
산지,SLE03,2020-07-07,KDFSH01,8778.0,3756,0,고등어
산지,SLE03,2020-07-08,KDFSH01,0.0,3756,0,고등어
산지,SLE03,2020-07-09,KDFSH01,0.0,3756,0,고등어
산지,SLE03,2020-07-10,KDFSH01,3000.0,3661,0,고등어
산지,SLE03,2020-07-11,KDFSH01,0.0,3661,0,고등어
산지,SLE03,2020-07-12,KDFSH01,0.0,3661,0,고등어
산지,SLE03,2020-07-13,KDFSH01,3037.0,3592,0,고등어
산지,SLE03,2020-07-14,KDFSH01,3234.0,3556,0,고등어
산지,SLE03,2020-07-15,KDFSH01,0.0,3556,3167,고등어
산지,SLE03,2020-07-16,KDFSH01,6815.0,3852,0,고등어
산지,SLE03,2020-07-17,KDFSH01,3764.0,3845,0,고등어
산지,SLE03,2020-07-18,KDFSH01,2118.0,3712,2566,고등어
산지,SLE03,2020-07-19,KDFSH01,0.0,3712,2199,고등어
산지,SLE03,2020-07-20,KDFSH01,2307.0,3612,0,고등어
산지,SLE03,2020-07-21,KDFSH01,3643.0,3614,0,고등어
산지,SLE03,2020-07-22,KDFSH01,2101.0,3519,0,고등어
산지,SLE03,2020-07-23,KDFSH01,2029.0,3432,3418,고등어
산지,SLE03,2020-07-24,KDFSH01,1950.0,3349,3883,고등어
산지,SLE03,2020-07-25,KDFSH01,2838.0,3322,0,고등어
산지,SLE03,2020-07-26,KDFSH01,0.0,3322,0,고등어
산지,SLE03,2020-07-27,KDFSH01,2119.0,3262,0,고등어
산지,SLE03,2020-07-28,KDFSH01,1387.0,3173,0,고등어
산지,SLE03,2020-07-29,KDFSH01,1731.0,1731,0,고등어
산지,SLE03,2020-07-30,KDFSH01,1761.0,1746,0,고등어
산지,SLE03,2020-07-31,KDFSH01,2329.0,1940,0,고등어
산지,SLE03,2020-08-01,KDFSH01,2321.0,2036,0,고등어
산지,SLE03,2020-08-02,KDFSH01,1577.0,1944,0,고등어
산지,SLE03,2020-08-03,KDFSH01,2754.0,2079,0,고등어
산지,SLE03,2020-08-04,KDFSH01,3771.0,2321,0,고등어
산지,SLE03,2020-08-05,KDFSH01,14938.0,3898,0,고등어
산지,SLE03,2020-08-06,KDFSH01,4451.0,3959,0,고등어
산지,SLE03,2020-08-07,KDFSH01,3498.0,3913,0,고등어
산지,SLE03,2020-08-08,KDFSH01,0.0,3913,0,고등어
산지,SLE03,2020-08-09,KDFSH01,0.0,3913,0,고등어
산지,SLE03,2020-08-10,KDFSH01,0.0,3913,0,고등어
산지,SLE03,2020-08-11,KDFSH01,2034.0,3742,0,고등어
산지,SLE03,2020-08-12,KDFSH01,0.0,3742,0,고등어
산지,SLE03,2020-08-13,KDFSH01,5958.0,3927,0,고등어
산지,SLE03,2020-08-14,KDFSH01,4941.0,4005,0,고등어
산지,SLE03,2020-08-15,KDFSH01,3930.0,4000,0,고등어
산지,SLE03,2020-08-16,KDFSH01,3747.0,3983,0,고등어
산지,SLE03,2020-08-17,KDFSH01,3577.0,3957,0,고등어
산지,SLE03,2020-08-18,KDFSH01,4325.0,3979,0,고등어
산지,SLE03,2020-08-19,KDFSH01,2568.0,3901,0,고등어
산지,SLE03,2020-08-20,KDFSH01,2141.0,3808,0,고등어
산지,SLE03,2020-08-21,KDFSH01,3137.0,3774,0,고등어
산지,SLE03,2020-08-22,KDFSH01,2702.0,3723,0,고등어
산지,SLE03,2020-08-23,KDFSH01,0.0,3723,0,고등어
산지,SLE03,2020-08-24,KDFSH01,4436.0,3756,0,고등어
산지,SLE03,2020-08-25,KDFSH01,3712.0,3754,0,고등어
산지,SLE03,2020-08-26,KDFSH01,3242.0,3733,2025,고등어
산지,SLE03,2020-08-27,KDFSH01,0.0,3733,2412,고등어
산지,SLE03,2020-08-28,KDFSH01,2315.0,2315,3356,고등어
산지,SLE03,2020-08-29,KDFSH01,0.0,2315,3165,고등어
산지,SLE03,2020-08-30,KDFSH01,4029.0,3172,2729,고등어
산지,SLE03,2020-08-31,KDFSH01,3564.0,3303,2625,고등어
산지,SLE03,2020-09-01,KDFSH01,6478.0,4097,0,고등어
산지,SLE03,2020-09-02,KDFSH01,0.0,4097,2556,고등어
산지,SLE03,2020-09-03,KDFSH01,0.0,4097,2455,고등어
산지,SLE03,2020-09-04,KDFSH01,2907.0,3859,2334,고등어
산지,SLE03,2020-09-05,KDFSH01,0.0,3859,2261,고등어
산지,SLE03,2020-09-06,KDFSH01,0.0,3859,2350,고등어
산지,SLE03,2020-09-07,KDFSH01,0.0,3859,2421,고등어
산지,SLE03,2020-09-08,KDFSH01,0.0,3859,0,고등어
산지,SLE03,2020-09-09,KDFSH01,2183.0,3579,0,고등어
산지,SLE03,2020-09-10,KDFSH01,5205.0,3812,0,고등어
산지,SLE03,2020-09-11,KDFSH01,5435.0,4015,0,고등어
산지,SLE03,2020-09-12,KDFSH01,5137.0,4139,0,고등어
산지,SLE03,2020-09-13,KDFSH01,0.0,4139,0,고등어
산지,SLE03,2020-09-14,KDFSH01,4730.0,4198,0,고등어
산지,SLE03,2020-09-15,KDFSH01,4859.0,4258,0,고등어
산지,SLE03,2020-09-16,KDFSH01,4221.0,4255,0,고등어
산지,SLE03,2020-09-17,KDFSH01,5206.0,4328,0,고등어
산지,SLE03,2020-09-18,KDFSH01,4483.0,4339,0,고등어
산지,SLE03,2020-09-19,KDFSH01,4192.0,4330,0,고등어
산지,SLE03,2020-09-20,KDFSH01,3499.0,4278,0,고등어
산지,SLE03,2020-09-21,KDFSH01,4245.0,4276,0,고등어
산지,SLE03,2020-09-22,KDFSH01,4306.0,4277,0,고등어
산지,SLE03,2020-09-23,KDFSH01,3942.0,4260,0,고등어
산지,SLE03,2020-09-24,KDFSH01,4021.0,4248,0,고등어
산지,SLE03,2020-09-25,KDFSH01,4298.0,4250,0,고등어
산지,SLE03,2020-09-26,KDFSH01,4195.0,4248,0,고등어
산지,SLE03,2020-09-27,KDFSH01,4339.0,4339,0,고등어
산지,SLE03,2020-09-28,KDFSH01,4352.0,4346,0,고등어
산지,SLE03,2020-09-29,KDFSH01,4081.0,4257,0,고등어
산지,SLE03,2020-09-30,KDFSH01,3576.0,4087,0,고등어
산지,SLE03,2020-10-01,KDFSH01,0.0,4087,0,고등어
산지,SLE03,2020-10-02,KDFSH01,0.0,4087,0,고등어
산지,SLE03,2020-10-03,KDFSH01,0.0,4087,0,고등어
산지,SLE03,2020-10-04,KDFSH01,0.0,4087,0,고등어
산지,SLE03,2020-10-05,KDFSH01,0.0,4087,0,고등어
산지,SLE03,2020-10-06,KDFSH01,2411.0,3752,0,고등어
산지,SLE03,2020-10-07,KDFSH01,2463.0,3537,3526,고등어
산지,SLE03,2020-10-08,KDFSH01,4252.0,3639,2701,고등어
산지,SLE03,2020-10-09,KDFSH01,4427.0,3738,0,고등어
산지,SLE03,2020-10-10,KDFSH01,3572.0,3719,2693,고등어
산지,SLE03,2020-10-11,KDFSH01,3747.0,3722,3020,고등어
산지,SLE03,2020-10-12,KDFSH01,3554.0,3707,3090,고등어
산지,SLE03,2020-10-13,KDFSH01,4901.0,3806,0,고등어
산지,SLE03,2020-10-14,KDFSH01,4153.0,3833,2974,고등어
산지,SLE03,2020-10-15,KDFSH01,3226.0,3790,2794,고등어
산지,SLE03,2020-10-16,KDFSH01,3721.0,3785,2712,고등어
산지,SLE03,2020-10-17,KDFSH01,4384.0,3822,2603,고등어
산지,SLE03,2020-10-18,KDFSH01,4443.0,3859,0,고등어
산지,SLE03,2020-10-19,KDFSH01,4138.0,3874,3434,고등어
산지,SLE03,2020-10-20,KDFSH01,3945.0,3878,0,고등어
산지,SLE03,2020-10-21,KDFSH01,2727.0,3821,3586,고등어
산지,SLE03,2020-10-22,KDFSH01,3111.0,3787,3572,고등어
산지,SLE03,2020-10-23,KDFSH01,3541.0,3776,3551,고등어
산지,SLE03,2020-10-24,KDFSH01,4718.0,3817,3494,고등어
산지,SLE03,2020-10-25,KDFSH01,0.0,3817,3492,고등어
산지,SLE03,2020-10-26,KDFSH01,0.0,3817,3419,고등어
산지,SLE03,2020-10-27,KDFSH01,2373.0,2373,2139,고등어
