sleTy,fshName,creatDate,pc,accmltPc,accmlyYr
산지,고등어,2020-01-01,0.0,0.0,0.0
산지,고등어,2020-01-02,1541.0,1541.0,0.0
산지,고등어,2020-01-03,700.0,1121.0,0.0
산지,고등어,2020-01-04,1696.0,1312.0,0.0
산지,고등어,2020-01-05,0.0,1312.0,0.0
산지,고등어,2020-01-06,4761.0,2175.0,0.0
산지,고등어,2020-01-07,1684.0,2076.0,0.0
산지,고등어,2020-01-08,1621.0,2001.0,0.0
산지,고등어,2020-01-09,1385.0,1913.0,0.0
산지,고등어,2020-01-10,2688.0,2010.0,0.0
산지,고등어,2020-01-11,1562.0,1960.0,0.0
산지,고등어,2020-01-12,0.0,1960.0,0.0
산지,고등어,2020-01-13,2873.0,2051.0,0.0
산지,고등어,2020-01-14,0.0,2051.0,0.0
산지,고등어,2020-01-15,5030.0,2322.0,0.0
산지,고등어,2020-01-16,5783.0,2610.0,0.0
산지,고등어,2020-01-17,2058.0,2568.0,0.0
산지,고등어,2020-01-18,2115.0,2536.0,0.0
산지,고등어,2020-01-19,3114.0,2574.0,0.0
산지,고등어,2020-01-20,2138.0,2547.0,0.0
산지,고등어,2020-01-21,2123.0,2522.0,0.0
산지,고등어,2020-01-22,1986.0,2492.0,0.0
산지,고등어,2020-01-23,1800.0,2456.0,0.0
산지,고등어,2020-01-24,0.0,2456.0,0.0
산지,고등어,2020-01-25,0.0,2456.0,0.0
산지,고등어,2020-01-26,0.0,2456.0,0.0
산지,고등어,2020-01-27,0.0,2456.0,0.0
산지,고등어,2020-01-28,0.0,2456.0,0.0
산지,고등어,2020-01-29,0.0,2456.0,0.0
산지,고등어,2020-01-30,0.0,2456.0,0.0
산지,고등어,2020-01-31,1474.0,1474.0,0.0
산지,고등어,2020-02-01,0.0,1474.0,0.0
산지,고등어,2020-02-02,0.0,1474.0,0.0
산지,고등어,2020-02-03,1621.0,1548.0,0.0
산지,고등어,2020-02-04,2405.0,1833.0,0.0
산지,고등어,2020-02-05,3267.0,2192.0,0.0
산지,고등어,2020-02-06,2260.0,2205.0,0.0
산지,고등어,2020-02-07,2317.0,2224.0,0.0
산지,고등어,2020-02-08,1594.0,2134.0,0.0
산지,고등어,2020-02-09,0.0,2134.0,0.0
산지,고등어,2020-02-10,1470.0,2051.0,0.0
산지,고등어,2020-02-11,0.0,2051.0,0.0
산지,고등어,2020-02-12,2703.0,2123.0,0.0
산지,고등어,2020-02-13,0.0,2123.0,0.0
산지,고등어,2020-02-14,0.0,2123.0,0.0
산지,고등어,2020-02-15,3485.0,2260.0,0.0
산지,고등어,2020-02-16,0.0,2260.0,0.0
산지,고등어,2020-02-17,3883.0,2407.0,0.0
산지,고등어,2020-02-18,2690.0,2431.0,0.0
산지,고등어,2020-02-19,4944.0,2624.0,0.0
산지,고등어,2020-02-20,0.0,2624.0,0.0
산지,고등어,2020-02-21,2178.0,2592.0,0.0
산지,고등어,2020-02-22,0.0,2592.0,0.0
산지,고등어,2020-02-23,0.0,2592.0,0.0
산지,고등어,2020-02-24,3486.0,2652.0,0.0
산지,고등어,2020-02-25,3226.0,2688.0,0.0
산지,고등어,2020-02-26,3055.0,2709.0,0.0
산지,고등어,2020-02-27,0.0,2709.0,0.0
산지,고등어,2020-02-28,0.0,2709.0,0.0
산지,고등어,2020-02-29,0.0,2709.0,0.0
산지,고등어,2020-03-01,0.0,0.0,2067.0
산지,고등어,2020-03-02,2744.0,2744.0,2188.0
산지,고등어,2020-03-03,2357.0,2551.0,0.0
산지,고등어,2020-03-04,3089.0,2730.0,2690.0
산지,고등어,2020-03-05,2856.0,2762.0,3259.0
산지,고등어,2020-03-06,2842.0,2778.0,4142.0
산지,고등어,2020-03-07,2444.0,2722.0,4356.0
산지,고등어,2020-03-08,0.0,2722.0,4124.0
산지,고등어,2020-03-09,3222.0,2793.0,0.0
산지,고등어,2020-03-10,3125.0,2835.0,0.0
산지,고등어,2020-03-11,2703.0,2820.0,4204.0
산지,고등어,2020-03-12,0.0,2820.0,4218.0
산지,고등어,2020-03-13,3321.0,2870.0,0.0
산지,고등어,2020-03-14,0.0,2870.0,0.0
산지,고등어,2020-03-15,0.0,2870.0,0.0
산지,고등어,2020-03-16,3977.0,2971.0,0.0
산지,고등어,2020-03-17,0.0,2971.0,0.0
산지,고등어,2020-03-18,5402.0,3174.0,4213.0
산지,고등어,2020-03-19,5565.0,3357.0,4190.0
산지,고등어,2020-03-20,8135.0,3699.0,4247.0
산지,고등어,2020-03-21,0.0,3699.0,4279.0
산지,고등어,2020-03-22,0.0,3699.0,0.0
산지,고등어,2020-03-23,4683.0,3764.0,0.0
산지,고등어,2020-03-24,2172.0,3665.0,0.0
산지,고등어,2020-03-25,3269.0,3642.0,0.0
산지,고등어,2020-03-26,3302.0,3623.0,0.0
산지,고등어,2020-03-27,2989.0,3589.0,4487.0
산지,고등어,2020-03-28,0.0,3589.0,4474.0
산지,고등어,2020-03-29,0.0,3589.0,4540.0
산지,고등어,2020-03-30,2528.0,3536.0,0.0
