date,stn_id,wh_sig,wh_max_,wh_max_hh,wp,wp_,ws,pa,hm,ta,tw
2020-01-01,22194,1.1,2.8,1.0,5.9,8.0,4.9,1032.3,57.0,5.3,11.5
2020-01-02,22194,0.6,1.3,1.0,4.6,6.4,3.7,1029.7,62.0,7.8,11.4
2020-01-03,22194,0.5,1.2,8.0,3.6,4.0,5.0,1027.3,62.0,8.0,11.0
2020-01-04,22194,0.6,1.3,21.0,3.6,4.3,5.4,1026.3,63.0,8.3,11.0
2020-01-05,22194,0.6,1.4,1.0,4.0,4.9,4.9,1029.2,59.0,7.9,17.91109185441941
2020-01-06,22194,0.9,2.3,16.0,4.1,5.3,7.1,1021.6,82.0,10.7,11.1
2020-01-07,22194,1.3,5.0,24.0,5.7,6.4,7.5,1009.8,89.0,13.0,11.2
2020-01-08,22194,4.1,9.2,14.0,8.5,9.1,12.7,1019.6,70.0,6.3,11.1
2020-01-09,22194,2.3,5.1,1.0,7.5,9.1,8.4,1024.7,64.0,5.9,11.1
2020-01-10,22194,1.0,2.5,1.0,5.2,6.4,6.7,1023.1,66.0,6.0,11.0
2020-01-11,22194,0.9,2.1,23.0,4.1,4.9,6.7,1020.1,61.0,7.0,11.0
2020-01-12,22194,1.5,3.2,22.0,5.4,6.4,8.9,1019.9,60.0,5.8,10.9
2020-01-13,22194,1.5,3.3,6.0,6.4,8.0,6.3,1023.6,57.0,4.8,10.9
2020-01-14,22194,0.8,2.6,23.0,4.9,6.4,5.2,1025.0,65.0,4.4,10.9
2020-01-15,22194,1.0,2.6,1.0,4.8,5.8,5.9,1028.0,54.0,4.6,10.8
2020-01-16,22194,1.1,2.5,22.0,4.5,5.3,7.7,1026.2,60.0,5.0,10.7
2020-01-17,22194,1.1,2.3,21.0,4.8,5.3,7.7,1023.3,59.0,5.9,10.6
2020-01-18,22194,1.2,2.7,11.0,4.8,5.3,7.1,1022.3,57.0,6.1,10.6
2020-01-19,22194,1.2,2.6,18.0,5.0,6.4,7.4,1020.8,58.0,7.8,10.5
2020-01-20,22194,1.4,2.7,5.0,5.3,6.4,8.3,1024.5,50.0,6.8,10.3
2020-01-21,22194,1.0,2.8,2.0,5.6,6.4,4.6,1028.7,59.0,4.9,10.0
2020-01-22,22194,0.7,2.3,22.0,3.9,4.9,6.9,1022.3,82.0,7.1,9.9
2020-01-23,22194,1.4,3.0,15.0,5.0,6.4,9.0,1023.3,69.0,8.5,9.8
2020-01-24,22194,1.8,4.5,18.0,5.9,7.1,9.4,1029.1,68.0,7.3,9.8
2020-01-25,22194,1.4,3.4,4.0,6.1,7.1,7.3,1028.3,69.0,7.6,9.8
2020-01-26,22194,1.3,2.9,11.0,5.3,6.4,7.7,1024.1,74.0,8.3,9.8
2020-01-27,22194,1.8,4.3,17.0,5.7,7.1,9.8,1016.7,78.0,7.5,9.8
2020-01-28,22194,1.4,3.7,3.0,5.6,7.1,5.7,1017.3,74.0,7.8,9.8
2020-01-29,22194,1.2,3.5,23.0,4.9,6.4,6.9,1016.0,72.0,7.7,9.8
2020-01-30,22194,1.8,3.1,2.0,6.0,6.4,8.3,1016.3,64.0,6.4,9.8
2020-01-31,22194,1.5,3.4,8.0,6.2,7.1,7.2,1021.3,60.0,5.7,9.7
2020-02-01,22194,1.0,2.2,3.0,5.0,6.4,5.8,1025.4,62.0,7.9,9.8
2020-02-02,22194,0.9,1.8,4.0,5.2,5.8,3.6,1026.3,60.0,6.2,9.8
2020-02-03,22194,1.2,2.8,16.0,5.4,6.4,6.8,1027.1,63.0,5.5,9.6
2020-02-04,22194,0.7,2.2,2.0,5.0,6.4,3.2,1027.1,60.0,4.8,9.7
2020-02-05,22194,2.4,5.4,7.0,6.8,8.0,10.8,1031.3,66.0,1.3,9.4
2020-02-06,22194,1.4,3.7,1.0,5.7,7.1,7.2,1032.8,63.0,1.2,9.4
2020-02-07,22194,0.8,1.7,16.0,4.0,5.3,6.2,1029.4,63.0,4.3,9.2
2020-02-08,22194,1.5,3.3,15.0,5.3,6.4,8.9,1028.2,61.0,6.0,9.1
2020-02-09,22194,1.0,2.5,4.0,4.8,5.8,6.7,1026.3,59.0,6.3,9.1
2020-02-10,22194,1.0,2.5,4.0,5.0,5.8,3.7,1024.1,81.0,9.4,9.2
2020-02-11,22194,0.5,1.0,1.0,3.5,4.9,5.2,1025.6,78.0,9.6,9.2
2020-02-12,22194,1.1,2.6,15.0,5.2,7.1,6.9,1015.9,86.0,10.1,9.2
