sleTy,fshName,creatDate,pc,accmltPc,accmlyYr
산지,광어,2020-01-01,8169.0,9119.0,181932.0
산지,광어,2020-01-02,8336.0,9053.0,859875.0
산지,광어,2020-01-03,8172.0,8986.0,1040821.0
산지,광어,2020-01-04,8554.0,8955.0,1064065.0
산지,광어,2020-01-05,10338.0,9047.0,1095374.0
산지,광어,2020-01-06,8488.0,9012.0,1158539.0
산지,광어,2020-01-07,8549.0,8985.0,1192134.0
산지,광어,2020-01-08,8372.0,8951.0,1179820.0
산지,광어,2020-01-09,8376.0,8920.0,1186502.0
산지,광어,2020-01-10,8378.0,8893.0,1497797.0
산지,광어,2020-01-11,8266.0,8863.0,1518577.0
산지,광어,2020-01-12,10009.0,8916.0,1478582.0
산지,광어,2020-01-13,8678.0,8905.0,1453592.0
산지,광어,2020-01-14,11000.0,8980.0,1432311.0
산지,광어,2020-01-15,8406.0,8958.0,1398421.0
산지,광어,2020-01-16,8393.0,8937.0,1381927.0
산지,광어,2020-01-17,8317.0,8915.0,1393509.0
산지,광어,2020-01-18,8447.0,8898.0,1369339.0
산지,광어,2020-01-19,9705.0,8925.0,1358637.0
산지,광어,2020-01-20,8716.0,8919.0,1368057.0
산지,광어,2020-01-21,8673.0,8911.0,1372976.0
산지,광어,2020-01-22,8426.0,8896.0,1363783.0
산지,광어,2020-01-23,8307.0,8879.0,1337855.0
산지,광어,2020-01-24,8421.0,8866.0,1321842.0
산지,광어,2020-01-25,9920.0,8895.0,1408336.0
산지,광어,2020-01-26,8506.0,8885.0,1380209.0
산지,광어,2020-01-27,8786.0,8882.0,1409006.0
산지,광어,2020-01-28,8520.0,8873.0,1437155.0
산지,광어,2020-01-29,8567.0,8865.0,1428302.0
산지,광어,2020-01-30,8440.0,8855.0,1413629.0
산지,광어,2020-01-31,8334.0,8334.0,4485001.0
산지,광어,2020-02-01,8681.0,8900.0,2433319.0
산지,광어,2020-02-02,8681.0,8900.0,2163460.0
산지,광어,2020-02-03,8603.0,8877.0,2008728.0
산지,광어,2020-02-04,8379.0,8841.0,1930525.0
산지,광어,2020-02-05,8596.0,8825.0,1867713.0
산지,광어,2020-02-06,8071.0,8778.0,1803086.0
산지,광어,2020-02-07,10917.0,8867.0,1917408.0
산지,광어,2020-02-08,8255.0,8834.0,2287307.0
산지,광어,2020-02-09,8250.0,8805.0,2193325.0
산지,광어,2020-02-10,8474.0,8789.0,2130391.0
산지,광어,2020-02-11,8260.0,8765.0,2056879.0
산지,광어,2020-02-12,8336.0,8747.0,1987599.0
산지,광어,2020-02-13,8101.0,8720.0,1947703.0
산지,광어,2020-02-14,7987.0,8690.0,1887529.0
산지,광어,2020-02-15,8388.0,8679.0,1839826.0
산지,광어,2020-02-16,8767.0,8682.0,1823774.0
산지,광어,2020-02-17,9242.0,8702.0,1802988.0
산지,광어,2020-02-18,7952.0,8676.0,1787613.0
산지,광어,2020-02-19,8172.0,8659.0,1737363.0
산지,광어,2020-02-20,7964.0,8637.0,1719284.0
산지,광어,2020-02-21,7946.0,8615.0,1875686.0
산지,광어,2020-02-22,8064.0,8599.0,1845067.0
산지,광어,2020-02-23,9528.0,8626.0,1837808.0
산지,광어,2020-02-24,10000.0,8660.0,1821093.0
산지,광어,2020-02-25,8277.0,8650.0,1801005.0
산지,광어,2020-02-26,10000.0,8680.0,1785812.0
산지,광어,2020-02-27,7821.0,8658.0,1762391.0
산지,광어,2020-02-28,11000.0,8697.0,1856405.0
산지,광어,2020-02-29,8168.0,8685.0,1919751.0
산지,광어,2020-03-01,8735.0,8592.0,192524.0
산지,광어,2020-03-02,10000.0,8658.0,710795.0
산지,광어,2020-03-03,8149.0,8622.0,954779.0
산지,광어,2020-03-04,7843.0,8570.0,1188404.0
산지,광어,2020-03-05,7619.0,8511.0,1273107.0
산지,광어,2020-03-06,7549.0,8454.0,2127320.0
산지,광어,2020-03-07,8027.0,8430.0,2009439.0
산지,광어,2020-03-08,7104.0,8361.0,1864956.0
산지,광어,2020-03-09,7799.0,8332.0,1774307.0
산지,광어,2020-03-10,7610.0,8298.0,1714997.0
산지,광어,2020-03-11,7720.0,8272.0,1714071.0
산지,광어,2020-03-12,7463.0,8237.0,1686302.0
산지,광어,2020-03-13,7451.0,8204.0,1957901.0
산지,광어,2020-03-14,7785.0,8187.0,1912662.0
산지,광어,2020-03-15,8444.0,8197.0,1868083.0
산지,광어,2020-03-16,7786.0,8182.0,1817169.0
산지,광어,2020-03-17,7645.0,8163.0,1805359.0
산지,광어,2020-03-18,10536.0,8221.0,1773425.0
산지,광어,2020-03-19,7637.0,8202.0,1785167.0
산지,광어,2020-03-20,7413.0,8178.0,1783512.0
산지,광어,2020-03-21,7749.0,8165.0,1761374.0
산지,광어,2020-03-22,10500.0,8234.0,1826202.0
산지,광어,2020-03-23,7906.0,8224.0,1809340.0
산지,광어,2020-03-24,7785.0,8212.0,1808804.0
산지,광어,2020-03-25,7937.0,8205.0,1808763.0
산지,광어,2020-03-26,7762.0,8193.0,1818449.0
산지,광어,2020-03-27,7889.0,8185.0,1931781.0
산지,광어,2020-03-28,7720.0,8173.0,1920475.0
산지,광어,2020-03-29,8747.0,8187.0,1948262.0
산지,광어,2020-03-30,8371.0,8192.0,1925838.0
산지,광어,2020-03-31,9938.0,9121.0,1605669.0
산지,광어,2020-04-01,11300.0,9216.0,866833.0
산지,광어,2020-04-02,8098.0,9136.0,1273492.0
산지,광어,2020-04-03,8204.0,9074.0,1104481.0
산지,광어,2020-04-04,8175.0,9018.0,1149452.0
산지,광어,2020-04-05,8938.0,9013.0,1676250.0
산지,광어,2020-04-06,8383.0,8978.0,1628245.0
산지,광어,2020-04-07,8171.0,8936.0,1662094.0
산지,광어,2020-04-08,8276.0,8903.0,1613299.0
산지,광어,2020-04-09,8121.0,8865.0,1513927.0
산지,광어,2020-04-10,8140.0,8833.0,2031936.0
산지,광어,2020-04-11,8132.0,8802.0,1973362.0
산지,광어,2020-04-12,7850.0,8762.0,2020838.0
산지,광어,2020-04-13,8671.0,8759.0,1960101.0
산지,광어,2020-04-14,8659.0,8755.0,1898297.0
산지,광어,2020-04-15,8804.0,8757.0,1865630.0
산지,광어,2020-04-16,8607.0,8751.0,1828953.0
산지,광어,2020-04-17,8704.0,8750.0,1760214.0
산지,광어,2020-04-18,8741.0,8749.0,1719703.0
산지,광어,2020-04-19,8772.0,8750.0,1688227.0
산지,광어,2020-04-20,10392.0,8801.0,1664048.0
산지,광어,2020-04-21,8731.0,8799.0,1650442.0
산지,광어,2020-04-22,10006.0,8832.0,1646685.0
산지,광어,2020-04-23,8794.0,8831.0,1630566.0
산지,광어,2020-04-24,8924.0,8833.0,1797263.0
산지,광어,2020-04-25,9034.0,8838.0,1778371.0
산지,광어,2020-04-26,9034.0,8838.0,1907852.0
산지,광어,2020-04-27,10500.0,8896.0,1891974.0
산지,광어,2020-04-28,9481.0,8910.0,1887451.0
산지,광어,2020-04-29,9907.0,8933.0,1872740.0
산지,광어,2020-04-30,10054.0,10054.0,1476463.0
산지,광어,2020-05-01,14255.0,12737.0,753822.0
산지,광어,2020-05-02,11014.0,12604.0,1012116.0
산지,광어,2020-05-03,11334.0,12514.0,1241613.0
산지,광어,2020-05-04,10500.0,12329.0,1350519.0
산지,광어,2020-05-05,11721.0,12293.0,1307226.0
산지,광어,2020-05-06,11823.0,12267.0,1388986.0
