date,code,name,amount,cost,middle_cost
2020-01-02,104,갈치,1804.5,35622000,22600.0
2020-01-03,104,갈치,1162.9,15934000,21428.0
2020-01-04,104,갈치,1913.2,28187000,22888.0
2020-01-05,104,갈치,1913.2,28187000,22888.0
2020-01-06,104,갈치,2521.4,41684000,22857.0
2020-01-07,104,갈치,2521.0,39537000,21000.0
2020-01-08,104,갈치,1597.0,22953000,20444.0
2020-01-09,104,갈치,1578.0,19541000,18888.0
2020-01-10,104,갈치,967.0,13256000,19428.0
2020-01-11,104,갈치,874.1,10517000,11600.0
2020-01-12,104,갈치,874.1,10517000,11600.0
2020-01-13,104,갈치,1502.2,27924000,25714.0
2020-01-14,104,갈치,1490.4,33381000,28750.0
2020-01-15,104,갈치,1719.4,42653000,28000.0
2020-01-16,104,갈치,1389.7,33635000,27777.0
2020-01-17,104,갈치,2353.9,50180000,25555.0
2020-01-18,104,갈치,1548.0,31774000,27400.0
2020-01-19,104,갈치,1548.0,31774000,27400.0
2020-01-20,104,갈치,1921.5,39384000,28200.0
2020-01-21,104,갈치,1127.3,24809000,26000.0
2020-01-22,104,갈치,1763.5,43228000,32000.0
2020-01-23,104,갈치,2234.6,51768000,29500.0
2020-01-24,104,갈치,1336.5,22287000,18750.0
2020-01-25,104,갈치,1336.5,22287000,18750.0
2020-01-26,104,갈치,1336.5,22287000,18750.0
2020-01-27,104,갈치,1336.5,22287000,18750.0
2020-01-28,104,갈치,1336.5,22287000,18750.0
2020-01-29,104,갈치,1336.5,22287000,18750.0
2020-01-30,104,갈치,1336.5,22287000,18750.0
2020-01-31,104,갈치,1336.5,22287000,18750.0
2020-02-01,104,갈치,305.0,5406000,28015.0
2020-02-02,104,갈치,305.0,5406000,28015.0
2020-02-03,104,갈치,914.0,29077000,32000.0
2020-02-04,104,갈치,1291.5,34778000,28111.0
2020-02-05,104,갈치,1415.7,31331000,27000.0
2020-02-06,104,갈치,1706.7,33987000,23333.0
2020-02-07,104,갈치,1716.0,29831000,15261.0
2020-02-08,104,갈치,1266.5,22794000,20800.0
2020-02-09,104,갈치,1266.5,22794000,20800.0
2020-02-10,104,갈치,1451.5,27618000,22222.0
2020-02-11,104,갈치,1149.5,24647000,24000.0
2020-02-12,104,갈치,472.5,9346000,21428.0
2020-02-13,104,갈치,893.0,20599000,25300.0
2020-02-14,104,갈치,653.5,13988000,25555.0
2020-02-15,104,갈치,770.5,17592000,28750.0
2020-02-16,104,갈치,770.5,17592000,28750.0
2020-02-17,104,갈치,1081.0,23651000,17863.0
2020-02-18,104,갈치,1668.5,31342000,16721.5
2020-02-19,104,갈치,930.0,19683000,26250.0
2020-02-20,104,갈치,796.5,14963000,24285.0
2020-02-21,104,갈치,1177.9,23066000,27000.0
2020-02-22,104,갈치,297.0,8715000,30000.0
2020-02-23,104,갈치,297.0,8715000,30000.0
2020-02-24,104,갈치,914.0,25703000,32000.0
2020-02-25,104,갈치,1782.5,43930000,27111.0
2020-02-26,104,갈치,1275.3,27481000,28000.0
2020-02-27,104,갈치,1061.0,20776000,25925.0
2020-02-28,104,갈치,1454.7,34141000,26961.0
2020-02-29,104,갈치,937.5,20704000,25400.0
2020-03-01,104,갈치,937.5,20704000,25400.0
2020-03-02,104,갈치,1326.0,32425000,21000.0
2020-03-03,104,갈치,1575.5,28977000,15846.0
2020-03-04,104,갈치,815.2,15867000,22500.0
2020-03-05,104,갈치,1379.4,29104000,25000.0
2020-03-06,104,갈치,910.5,17347000,22857.0
2020-03-07,104,갈치,613.0,9941000,22857.0
2020-03-08,104,갈치,613.0,9941000,22857.0
2020-03-09,104,갈치,1149.0,28657000,33112.5
2020-03-10,104,갈치,1538.5,32633000,19999.5
2020-03-11,104,갈치,1338.3,25878000,22222.0
2020-03-12,104,갈치,1006.5,19271000,23000.0
2020-03-13,104,갈치,520.5,8161000,21714.0
2020-03-14,104,갈치,488.5,12051000,28000.0
2020-03-15,104,갈치,488.5,12051000,28000.0
2020-03-16,104,갈치,954.8,22591000,27777.0
2020-03-17,104,갈치,1476.8,32751000,25000.0
2020-03-18,104,갈치,995.5,17007000,25555.0
2020-03-19,104,갈치,2150.5,38966000,16978.5
2020-03-20,104,갈치,1767.8,31602000,25000.0
2020-03-21,104,갈치,1188.5,21021000,23750.0
2020-03-22,104,갈치,1188.5,21021000,23750.0
2020-03-23,104,갈치,2265.7,43673000,24400.0
2020-03-24,104,갈치,2355.1,35214000,14209.0
2020-03-25,104,갈치,1057.5,15705000,20571.0
2020-03-26,104,갈치,1631.0,22600000,26250.0
2020-03-27,104,갈치,1628.3,23733000,23400.0
2020-03-28,104,갈치,1582.2,17944000,25111.0
2020-03-29,104,갈치,1582.2,17944000,25111.0
2020-03-30,104,갈치,1883.5,37398000,25500.0
2020-03-31,104,갈치,992.3,19004000,26600.0
2020-04-01,104,갈치,1376.0,26174000,28750.0
2020-04-02,104,갈치,1630.0,29407000,25875.0
2020-04-03,104,갈치,1126.7,21106000,28888.0
2020-04-04,104,갈치,1220.3,33303000,30222.0
2020-04-05,104,갈치,1220.3,33303000,30222.0
2020-04-06,104,갈치,350.5,6712000,27142.0
2020-04-07,104,갈치,1675.7,44264000,27777.0
2020-04-08,104,갈치,437.2,15875000,30000.0
2020-04-09,104,갈치,1292.6,30319000,25666.5
2020-04-10,104,갈치,338.0,10328000,28600.0
2020-04-11,104,갈치,997.5,26759000,29000.0
2020-04-12,104,갈치,997.5,26759000,29000.0
2020-04-13,104,갈치,1359.7,34038000,20057.5
2020-04-14,104,갈치,1411.8,36353000,26400.0
2020-04-15,104,갈치,1420.8,29852000,24000.0
2020-04-16,104,갈치,1426.0,28929000,23500.0
2020-04-17,104,갈치,1856.8,41217000,23750.0
2020-04-18,104,갈치,921.4,17155000,23333.0
2020-04-19,104,갈치,921.4,17155000,23333.0
2020-04-20,104,갈치,1523.8,35867500,26200.0
2020-04-21,104,갈치,1408.1,33715000,26000.0
2020-04-22,104,갈치,1175.3,23035000,27200.0
2020-04-23,104,갈치,1221.4,29232000,28000.0
2020-04-24,104,갈치,909.0,18461000,29000.0
2020-04-25,104,갈치,872.8,22051000,31111.0
2020-04-26,104,갈치,872.8,22051000,31111.0
2020-04-27,104,갈치,1185.8,34180000,33305.5
2020-04-28,104,갈치,2039.6,48567000,15625.0
2020-04-29,104,갈치,2112.1,37604000,14000.0
2020-04-30,104,갈치,2679.0,45949000,27000.0
2020-05-01,104,갈치,1626.1,40490000,30200.0
2020-05-02,104,갈치,869.8,17448000,30400.0
2020-05-03,104,갈치,869.8,17448000,30400.0
2020-05-04,104,갈치,3828.1,73330000,12000.0
2020-05-05,104,갈치,2289.8,40304000,22611.0
2020-05-06,104,갈치,1578.1,30450000,20000.0
2020-05-07,104,갈치,1560.5,32057000,12500.0
2020-05-08,104,갈치,1797.8,28247000,18000.0
2020-05-09,104,갈치,625.5,12528000,12500.0
2020-05-10,104,갈치,625.5,12528000,12500.0
2020-05-11,104,갈치,655.4,12833000,14166.0
2020-05-12,104,갈치,972.4,19040000,23250.0
2020-05-13,104,갈치,1867.2,42263000,22999.5
2020-05-14,104,갈치,1231.4,30428000,30500.0
2020-05-15,104,갈치,1805.6,40297000,21701.0
2020-05-16,104,갈치,1824.8,43756000,27380.0
2020-05-17,104,갈치,1824.8,43756000,27380.0
2020-05-18,104,갈치,1718.9,35859000,27500.0
2020-05-19,104,갈치,1629.6,30254000,26000.0
2020-05-20,104,갈치,1495.3,28962000,25982.0
