date,code,name,amount,cost,top_cost,low_cost,middle_cost
2020-01-02,104,갈치,1804.5,35622000,34000,4000,22600
2020-01-03,104,갈치,1162.9,15934000,44000,2000,21428
2020-01-04,104,갈치,1913.2,28187000,42000,1600,22888
2020-01-05,104,갈치,1913.2,28187000,42000,1600,22888
2020-01-06,104,갈치,2521.4,41684000,40000,2500,22857
2020-01-07,104,갈치,2521,39537000,41666,1200,21000
2020-01-08,104,갈치,1597,22953000,36000,1800,20444
2020-01-09,104,갈치,1578,19541000,34000,2000,18888
2020-01-10,104,갈치,967,13256000,30600,5000,19428
2020-01-11,104,갈치,874.1,10517000,37000,4200,11600
2020-01-12,104,갈치,874.1,10517000,37000,4200,11600
2020-01-13,104,갈치,1502.2,27924000,50000,1700,25714
2020-01-14,104,갈치,1490.4,33381000,48000,2600,28750
2020-01-15,104,갈치,1719.4,42653000,50000,4313,28000
2020-01-16,104,갈치,1389.7,33635000,54000,4000,27777
2020-01-17,104,갈치,2353.9,50180000,48000,2000,25555
2020-01-18,104,갈치,1548,31774000,47000,4000,27400
2020-01-19,104,갈치,1548,31774000,47000,4000,27400
2020-01-20,104,갈치,1921.5,39384000,48000,2000,28200
2020-01-21,104,갈치,1127.3,24809000,48000,4400,26000
2020-01-22,104,갈치,1763.5,43228000,44444,2000,32000
2020-01-23,104,갈치,2234.6,51768000,43000,4000,29500
2020-01-24,104,갈치,1336.5,22287000,30000,2888,18750
2020-01-25,104,갈치,1336.5,22287000,30000,2888,18750
2020-01-26,104,갈치,1336.5,22287000,30000,2888,18750
2020-01-27,104,갈치,1336.5,22287000,30000,2888,18750
2020-01-28,104,갈치,1336.5,22287000,30000,2888,18750
2020-01-29,104,갈치,1336.5,22287000,30000,2888,18750
2020-01-30,104,갈치,1336.5,22287000,30000,2888,18750
2020-01-31,104,갈치,1336.5,22287000,30000,2888,18750
2020-02-01,104,갈치,305,5406000,55000,2000,28015
2020-02-02,104,갈치,305,5406000,55000,2000,28015
2020-02-03,104,갈치,914,29077000,34600,24000,32000
2020-02-04,104,갈치,1291.5,34778000,35600,9166,28111
2020-02-05,104,갈치,1415.7,31331000,33400,5500,27000
2020-02-06,104,갈치,1706.7,33987000,31000,1875,23333
2020-02-07,104,갈치,1716,29831000,29000,3200,15261
2020-02-08,104,갈치,1266.5,22794000,27200,4923,20800
2020-02-09,104,갈치,1266.5,22794000,27200,4923,20800
2020-02-10,104,갈치,1451.5,27618000,30000,4000,22222
2020-02-11,104,갈치,1149.5,24647000,30000,6333,24000
2020-02-12,104,갈치,472.5,9346000,28000,8000,21428
2020-02-13,104,갈치,893,20599000,32000,6666,25300
2020-02-14,104,갈치,653.5,13988000,36222,5400,25555
2020-02-15,104,갈치,770.5,17592000,35000,5000,28750
2020-02-16,104,갈치,770.5,17592000,35000,5000,28750
2020-02-17,104,갈치,1081,23651000,38000,1923,17863
2020-02-18,104,갈치,1668.5,31342000,34000,3461,16721.5
2020-02-19,104,갈치,930,19683000,40000,5000,26250
2020-02-20,104,갈치,796.5,14963000,30000,4166,24285
2020-02-21,104,갈치,1177.9,23066000,38000,2000,27000
2020-02-22,104,갈치,297,8715000,36000,27142,30000
2020-02-23,104,갈치,297,8715000,36000,27142,30000
2020-02-24,104,갈치,914,25703000,40000,5500,32000
2020-02-25,104,갈치,1782.5,43930000,33000,3000,27111
2020-02-26,104,갈치,1275.3,27481000,32000,4666,28000
2020-02-27,104,갈치,1061,20776000,30000,4153,25925
2020-02-28,104,갈치,1454.7,34141000,31000,5000,26961
2020-02-29,104,갈치,937.5,20704000,30400,5000,25400
2020-03-01,104,갈치,937.5,20704000,30400,5000,25400
2020-03-02,104,갈치,1326,32425000,31400,4000,21000
2020-03-03,104,갈치,1575.5,28977000,28000,4166,15846
2020-03-04,104,갈치,815.2,15867000,26000,4166,22500
2020-03-05,104,갈치,1379.4,29104000,30000,4166,25000
2020-03-06,104,갈치,910.5,17347000,27400,6166,22857
2020-03-07,104,갈치,613,9941000,24400,10333,22857
2020-03-08,104,갈치,613,9941000,24400,10333,22857
2020-03-09,104,갈치,1149,28657000,40000,5500,33112.5
2020-03-10,104,갈치,1538.5,32633000,32000,9600,19999.5
2020-03-11,104,갈치,1338.3,25878000,30000,5000,22222
2020-03-12,104,갈치,1006.5,19271000,27111,5500,23000
2020-03-13,104,갈치,520.5,8161000,27000,5846,21714
2020-03-14,104,갈치,488.5,12051000,33250,12000,28000
2020-03-15,104,갈치,488.5,12051000,33250,12000,28000
2020-03-16,104,갈치,954.8,22591000,36000,6666,27777
2020-03-17,104,갈치,1476.8,32751000,32000,6333,25000
2020-03-18,104,갈치,995.5,17007000,35000,5000,25555
2020-03-19,104,갈치,2150.5,38966000,31000,4333,16978.5
2020-03-20,104,갈치,1767.8,31602000,31000,4166,25000
2020-03-21,104,갈치,1188.5,21021000,30000,5500,23750
2020-03-22,104,갈치,1188.5,21021000,30000,5500,23750
2020-03-23,104,갈치,2265.7,43673000,34000,2307,24400
2020-03-24,104,갈치,2355.1,35214000,32000,5000,14209
2020-03-25,104,갈치,1057.5,15705000,31000,4615,20571
2020-03-26,104,갈치,1631,22600000,36000,4166,26250
2020-03-27,104,갈치,1628.3,23733000,28000,2166,23400
2020-03-28,104,갈치,1582.2,17944000,28000,2400,25111
2020-03-29,104,갈치,1582.2,17944000,28000,2400,25111
2020-03-30,104,갈치,1883.5,37398000,33000,3000,25500
2020-03-31,104,갈치,992.3,19004000,30400,4400,26600
2020-04-01,104,갈치,1376,26174000,35000,5076,28750
2020-04-02,104,갈치,1630,29407000,34000,5000,25875
2020-04-03,104,갈치,1126.7,21106000,39000,5500,28888
2020-04-04,104,갈치,1220.3,33303000,36000,2800,30222
2020-04-05,104,갈치,1220.3,33303000,36000,2800,30222
2020-04-06,104,갈치,350.5,6712000,40000,5000,27142
2020-04-07,104,갈치,1675.7,44264000,36000,5833,27777
2020-04-08,104,갈치,437.2,15875000,38000,23000,30000
2020-04-09,104,갈치,1292.6,30319000,35000,3666,25666.5
2020-04-10,104,갈치,338,10328000,33000,27142,28600
2020-04-11,104,갈치,997.5,26759000,33600,4000,29000
2020-04-12,104,갈치,997.5,26759000,33600,4000,29000
2020-04-13,104,갈치,1359.7,34038000,34583,5000,20057.5
2020-04-14,104,갈치,1411.8,36353000,32000,8333,26400
2020-04-15,104,갈치,1420.8,29852000,33333,5000,24000
2020-04-16,104,갈치,1426,28929000,33000,4500,23500
2020-04-17,104,갈치,1856.8,41217000,30400,6122,23750
2020-04-18,104,갈치,921.4,17155000,31000,5384,23333
2020-04-19,104,갈치,921.4,17155000,31000,5384,23333
2020-04-20,104,갈치,1523.8,35867500,32400,5000,26200
2020-04-21,104,갈치,1408.1,33715000,31000,9166,26000
2020-04-22,104,갈치,1175.3,23035000,36000,5000,27200
2020-04-23,104,갈치,1221.4,29232000,33750,5333,28000
2020-04-24,104,갈치,909,18461000,35416,4800,29000
2020-04-25,104,갈치,872.8,22051000,36000,8750,31111
2020-04-26,104,갈치,872.8,22051000,36000,8750,31111
2020-04-27,104,갈치,1185.8,34180000,40000,9166,33305.5
2020-04-28,104,갈치,2039.6,48567000,35416,2250,15625
2020-04-29,104,갈치,2112.1,37604000,36458,2800,14000
2020-04-30,104,갈치,2679,45949000,36458,4307,27000
2020-05-01,104,갈치,1626.1,40490000,35000,3750,30200
2020-05-02,104,갈치,869.8,17448000,35000,2000,30400
2020-05-03,104,갈치,869.8,17448000,35000,2000,30400
2020-05-04,104,갈치,3828.1,73330000,30000,2000,12000
2020-05-05,104,갈치,2289.8,40304000,31000,3846,22611
2020-05-06,104,갈치,1578.1,30450000,34000,2666,20000
2020-05-07,104,갈치,1560.5,32057000,35000,3000,12500
2020-05-08,104,갈치,1797.8,28247000,37142,2100,18000
2020-05-09,104,갈치,625.5,12528000,35000,3000,12500
2020-05-10,104,갈치,625.5,12528000,35000,3000,12500
2020-05-11,104,갈치,655.4,12833000,33000,800,14166
2020-05-12,104,갈치,972.4,19040000,45000,6333,23250
2020-05-13,104,갈치,1867.2,42263000,48000,2100,22999.5
2020-05-14,104,갈치,1231.4,30428000,45000,5600,30500
2020-05-15,104,갈치,1805.6,40297000,38000,3000,21701
2020-05-16,104,갈치,1824.8,43756000,36000,4400,27380
2020-05-17,104,갈치,1824.8,43756000,36000,4400,27380
2020-05-18,104,갈치,1718.9,35859000,38000,8000,27500
2020-05-19,104,갈치,1629.6,30254000,59200,5000,26000
2020-05-20,104,갈치,1495.3,28962000,42000,4857,25982
2020-05-21,104,갈치,1618.4,23127000,43750,5000,22857
2020-05-22,104,갈치,713.5,13373000,46000,2000,14000
2020-05-23,104,갈치,1029.1,28411000,48000,6000,38333
2020-05-24,104,갈치,1029.1,28411000,48000,6000,38333
2020-05-25,104,갈치,2420.3,48894000,68000,1666,11666
2020-05-26,104,갈치,3499.6,50609000,65000,2300,9899
2020-05-27,104,갈치,2447.3,35801000,72000,1000,17250
2020-05-28,104,갈치,2074.9,39797500,62000,500,13000
2020-05-29,104,갈치,1032.2,23959000,65000,500,23500
2020-05-30,104,갈치,2094.1,37317000,40000,1900,15000
2020-05-31,104,갈치,2094.1,37317000,40000,1900,15000
2020-06-01,104,갈치,1933.1,37995000,39583,2000,13333
2020-06-02,104,갈치,1314.8,18780000,44000,4400,21714
2020-06-03,104,갈치,1947.5,33855000,42000,4166,27200
2020-06-04,104,갈치,1634.6,31804000,62000,3157,35638.5
2020-06-05,104,갈치,1710.6,28629000,52000,2500,15416.5
2020-06-06,104,갈치,1391.7,24188000,48000,3787,29000
2020-06-07,104,갈치,1391.7,24188000,48000,3787,29000
2020-06-08,104,갈치,1501.2,30426000,60000,4166,30100
2020-06-09,104,갈치,2224.1,38995000,65000,3666,25555
2020-06-10,104,갈치,3002.3,46610000,60000,2600,36178.5
2020-06-11,104,갈치,1553.5,25530000,36000,4166,27000
2020-06-12,104,갈치,1421.9,21634000,32000,3833,25222
2020-06-13,104,갈치,1718,24294000,36000,2700,28000
2020-06-14,104,갈치,1718,24294000,36000,2700,28000
2020-06-15,104,갈치,2420.6,39038000,39000,500,8033
2020-06-16,104,갈치,1569.5,30525000,39583,5000,32000
2020-06-17,104,갈치,2303.1,33485000,41000,4500,26666
2020-06-18,104,갈치,2537.1,38925000,42000,3333,26666
2020-06-19,104,갈치,2954.8,32337000,41818,3636,20571
2020-06-20,104,갈치,1781.6,31865000,43750,6333,22400
2020-06-21,104,갈치,1781.6,31865000,43750,6333,22400
2020-06-22,104,갈치,2321.8,27471000,75000,2434,49285.5
2020-06-23,104,갈치,2480.2,33665000,70000,2857,25000
2020-06-24,104,갈치,2276.1,25961000,80000,2833,36571
2020-06-25,104,갈치,2330.8,26022000,77000,1000,14750
2020-06-26,104,갈치,851.4,14650000,70000,5500,30500
2020-06-27,104,갈치,1418.8,22318000,75000,3300,36000
2020-06-28,104,갈치,1418.8,22318000,75000,3300,36000
2020-06-29,104,갈치,2257.7,32350000,80000,3500,39722
2020-06-30,104,갈치,2021.1,44320000,43478,1000,17000
2020-07-01,104,갈치,1350,15329000,85000,3666,29166.5
2020-07-02,104,갈치,1439.8,20408000,38000,4166,25750
2020-07-03,104,갈치,514.5,7355000,42000,3750,25714
2020-07-04,104,갈치,914.3,16294000,48000,5500,33095
2020-07-05,104,갈치,914.3,16294000,48000,5500,33095
2020-07-06,104,갈치,3045.4,33128000,56000,1533,13333
2020-07-07,104,갈치,1850.8,35770000,56666,4166,39000
2020-07-08,104,갈치,1142.3,24272000,54000,6500,35523
2020-07-09,104,갈치,1674.4,27671000,55416,4500,14821
2020-07-10,104,갈치,3559.5,38084000,65000,666,10400
2020-07-11,104,갈치,691.3,11140000,90000,2500,12750
2020-07-12,104,갈치,691.3,11140000,90000,2500,12750
2020-07-13,104,갈치,1210.3,16280000,57142,4333,11121
2020-07-14,104,갈치,1782.5,32500000,54166,3750,33000
2020-07-15,104,갈치,1102,13313000,50000,1500,18333
2020-07-16,104,갈치,2035.5,36841000,54347,4166,36000
2020-07-17,104,갈치,3359.5,41909000,46000,4200,21250
