date,유의파고 평균,최대파고 최고,최대파고 시간,파주기 평균,파주기 최고,평균풍속,평균 현지기압,평균습도,평균수온,loc
2020-01-01,1.733333333,4.166666667,3.666666667,7.4,9.266666667,6.3,1027.166667,54.33333333,15.13333333,동해
2020-01-01,1.05,2.775,2.5,6.2,7.475,4.625,1032.475,58.5,11.225,서해
2020-01-01,1,2.433333333,3.666666667,5.366666667,8.133333333,6.9,1031.766667,60.66666667,15.1,남해
2020-01-02,1.2,2.533333333,21.33333333,6.066666667,7.4,5.133333333,1025.4,54,15.46666667,동해
2020-01-02,0.575,1.3,1.25,5.3,6.75,3.475,1029.925,61.75,11.25,서해
2020-01-02,0.7,1.566666667,8.666666667,3.666666667,5.566666667,6.366666667,1029.233333,64,16.53333333,남해
2020-01-03,1.4,2.766666667,14,6.033333333,7.1,6.6,1022,50,15.2,동해
2020-01-03,0.704475858,1.125,10,4.625,5.7,4.025,1027.575,66.25,11.125,서해
2020-01-03,0.8,1.733333333,10.66666667,3.633333333,4.4,7.3,1026.4,64.66666667,15.73333333,남해
2020-01-04,1.566666667,3.666666667,17.33333333,6.133333333,7.1,8.566666667,1021.333333,52.66666667,15.73333333,동해
2020-01-04,0.754475858,1.325,21.25,4.375,5.275,5.175,1026.625,62,11.125,서해
2020-01-04,0.833333333,1.733333333,8,3.9,5.333333333,7,1025.333333,60.66666667,15.36666667,남해
2020-01-05,1.3,2.933333333,2.666666667,6.4,7.4,3.8,1028.866667,57.33333333,15.5,동해
2020-01-05,0.55,1.45,9.75,4.4,5.2,4.975,1029.275,59.5,12.82777296,서해
2020-01-05,0.666666667,1.433333333,4.333333333,4.833333333,6.666666667,4.433333333,1029.266667,58.33333333,15.13333333,남해
2020-01-06,1.039301144,2,2,5.698460651,7.117032699,5.166666667,1023.149472,65.66666667,15.73703062,동해
2020-01-06,1,2.6,17.75,4.525,6.225,6.85,1021.725,85.25,11.15,서해
2020-01-06,0.9,2.2,22,4.233333333,6.366666667,6.333333333,1024.433333,75.33333333,15.16666667,남해
2020-01-07,1.6,3.9,19,5.65,7.1,7.25,1013.55,88.5,14.75,동해
2020-01-07,1.425,4.225,23.25,5.55,6.475,8.275,1010.4,90.5,11.125,서해
2020-01-07,2.066666667,5.566666667,23.66666667,6.033333333,7.466666667,9.7,1013.233333,86.33333333,15.63333333,남해
2020-01-08,3.305967811,9.233333333,19.33333333,7.831793985,9.517032699,11.96666667,1006.966667,72.66666667,15.70369728,동해
2020-01-08,3.65,7.875,10.5,8.275,9.25,12.775,1019.75,71.75,11,서해
2020-01-08,3.233333333,7.666666667,7.666666667,7.433333333,8.733333333,13.36666667,1017.3,72.33333333,15.1,남해
2020-01-09,2.933333333,7.033333333,7,9.333333333,10.7,7.9,1018.333333,62.33333333,14.33333333,동해
2020-01-09,2,4.875,2.25,7.35,8.725,8.025,1025.05,66.5,11.1,서해
2020-01-09,1.5,3.266666667,6,6.2,10.16666667,8.7,1022.7,66,14.63333333,남해
2020-01-10,1.633333333,3.866666667,2.333333333,7.8,9.1,4.233333333,1020.233333,63,14.53333333,동해
2020-01-10,0.875,2.225,2.5,5.275,6.55,5.65,1023.425,67,11.25,서해
2020-01-10,0.9,2.233333333,2,7.133333333,9.266666667,5.433333333,1021.966667,60,14.13333333,남해
2020-01-11,1.133333333,2.6,10,6,6.866666667,5.933333333,1016.2,54,15.03333333,동해
2020-01-11,0.775,1.875,20.5,4.6,5.225,6.4,1020.525,62.5,11.125,서해
2020-01-11,0.766666667,1.933333333,15,4.9,7.466666667,6.433333333,1018.633333,60.66666667,14.33333333,남해
2020-01-12,1.6,4.133333333,22.33333333,6,7.7,8.333333333,1012.533333,65.66666667,15.03333333,동해
2020-01-12,1.35,2.975,17,5.425,6.425,8.6,1020.175,62.75,10.95,서해
2020-01-12,1.433333333,3.166666667,16,4.766666667,5.533333333,10.26666667,1018.133333,63,14.23333333,남해
2020-01-13,1.733333333,4.266666667,4.333333333,6.7,7.7,7.066666667,1017.766667,53.66666667,14.93333333,동해
2020-01-13,1.3,3.05,4,6.325,7.45,6,1023.725,62,10.9,서해
2020-01-13,1.1,2.533333333,3,4.466666667,5.3,8.066666667,1022.933333,61.66666667,14.26666667,남해
2020-01-14,2.066666667,4.4,13.66666667,7.066666667,8,7.7,1021.566667,63.33333333,14.6,동해
2020-01-14,0.775,2.125,22.25,4.875,6.575,5.775,1025.575,69,10.775,서해
2020-01-14,0.733333333,2,8,4.366666667,7.833333333,6.133333333,1024.566667,65,15.13333333,남해
2020-01-15,1.7,3.766666667,4.666666667,6.966666667,8.066666667,5.9,1024.533333,60.33333333,14.53333333,동해
2020-01-15,0.85,2.1,1.75,5.05,5.9,5.15,1028.425,58,10.675,서해
2020-01-15,0.9,1.8,7.333333333,4.933333333,6.3,6.566666667,1027.1,59.33333333,15.56666667,남해
2020-01-16,1,2.2,2.666666667,6.166666667,6.866666667,4.659245693,1023.7,52.33333333,14.5,동해
2020-01-16,0.925,2.225,21.5,4.55,5.5,7.175,1026.55,60.25,10.55,서해
2020-01-16,0.8,1.6,4.666666667,5.966666667,7.466666667,4.966666667,1024.933333,56.33333333,15.5,남해
2020-01-17,1.166666667,3.466666667,22.66666667,5.5,6.633333333,6,1020.266667,63.66666667,14.66666667,동해
2020-01-17,0.975,2.075,12.5,4.75,5.275,7.325,1023.95,58.75,10.375,서해
2020-01-17,0.933333333,2.033333333,22.66666667,4.866666667,7.333333333,6.833333333,1021.4,52.66666667,14.8,남해
2020-01-18,1.866666667,4.4,6.666666667,5.833333333,7.3,7.366666667,1018.2,71.66666667,14.43333333,동해
2020-01-18,1.025,2.25,9.75,5.075,5.725,6.525,1022.75,58.5,10.35,서해
2020-01-18,1.4,3.066666667,9.333333333,5.3,8.2,8.833333333,1020.4,55.33333333,14.56666667,남해
2020-01-19,1.166666667,2.933333333,15.66666667,5.466666667,7.166666667,6.366666667,1015.933333,50.66666667,14.16666667,동해
2020-01-19,1.1,2.5,13.25,5.15,6.2,7.075,1020.975,60.25,10.3,서해
2020-01-19,1.1,2.333333333,14,4.566666667,6.066666667,8.2,1020.766667,63,14.4,남해
2020-01-20,1.6,3.4,13,6.466666667,7.7,7.6,1018.466667,48.33333333,14.03333333,동해
2020-01-20,1.225,2.475,8.5,5.6,6.45,7.225,1024.7,53,10.175,서해
2020-01-20,1.233333333,2.5,20,4.6,5.4,9.166666667,1023.666667,56.66666667,14.76666667,남해
2020-01-21,1.6,3.766666667,7.333333333,6.933333333,8,5.8,1027.466667,58.66666667,13.93333333,동해
2020-01-21,0.875,2.475,6.75,5.925,6.8,4.275,1028.9,58.75,10.05,서해
2020-01-21,0.866666667,2.133333333,2.666666667,4.566666667,6.633333333,5.833333333,1028.633333,58.66666667,14.96666667,남해
2020-01-22,0.866666667,2.233333333,11.66666667,5.566666667,7.4,3.8,1024.1,54,13.83333333,동해
2020-01-22,0.725,1.975,18.5,4.225,5.75,6.625,1022.525,80.25,9.85,서해
2020-01-22,0.733333333,2.2,20.33333333,4.033333333,6.233333333,5.9,1022.266667,83.33333333,15.06666667,남해
2020-01-23,0.8,1.766666667,5,4.4,5.833333333,4.5,1021.633333,67.33333333,14.1,동해
2020-01-23,1.125,2.5,18.25,4.7,5.7,8.2,1024.025,70.75,9.825,서해
2020-01-23,1.066666667,2.633333333,8.666666667,5.466666667,6.866666667,6.3,1021.5,86.66666667,15.16666667,남해
2020-01-24,1.666666667,5.2,18.33333333,6.1,9.1,8.266666667,1028.833333,69.66666667,13.9,동해
2020-01-24,1.625,3.75,17.25,5.7,6.975,9.2,1029.675,66.25,9.775,서해
2020-01-24,1.2,3.1,16.66666667,5.4,6.633333333,7.6,1023.982805,70,15.33333333,남해
2020-01-25,1.633333333,4.066666667,3.333333333,6.4,8.366666667,7.5,1029.533333,62.33333333,13.83333333,동해
2020-01-25,1.45,3.25,4.25,5.875,7.2,7.95,1028.525,67.75,9.8,서해
2020-01-25,1.7,3.533333333,11,5.833333333,6.966666667,8.633333333,1026.933333,72,15.6,남해
2020-01-26,1.6,4.366666667,17.66666667,5.833333333,7.4,8.366666667,1027.066667,69,13.86666667,동해
2020-01-26,1.325,2.925,11.25,5.2,6.175,8.425,1024.5,71.75,9.725,서해
2020-01-26,1.9,6.066666667,21.66666667,5.866666667,8,10.33333333,1022.466667,72,15.43333333,남해
2020-01-27,3.266666667,7.666666667,21.33333333,6.3,8.366666667,12.8,1019.3,72.66666667,13.9,동해
2020-01-27,1.875,4.125,11.75,6,7.475,9.625,1017.85,77.75,9.75,서해
2020-01-27,3.366666667,7.433333333,10.66666667,8.6,10.7,13.56666667,1013.033333,83.33333333,14.56666667,남해
2020-01-28,3.733333333,7.566666667,5,7.7,9.633333333,12.36666667,1015.682805,76.66666667,13.83333333,동해
2020-01-28,1.2,2.9,2.75,5.625,7.25,6.5,1018.125,75,9.6,서해
2020-01-28,1.6,4.3,3,8.233333333,9.8,6.533333333,1016.366667,71,14.33333333,남해
2020-01-29,2.733333333,5.933333333,10.66666667,7.333333333,9.1,9.733333333,1013.933333,66.66666667,13.73333333,동해
2020-01-29,1.125,2.8,20.75,4.85,6.15,7.65,1016.85,74.25,9.6,서해
2020-01-29,1.333333333,3.266666667,14,7.333333333,8.966666667,6.166666667,1015.433333,73.66666667,14.83333333,남해
2020-01-30,3.366666667,7.2,17.66666667,8.566666667,10.7,10.6,1013.3,66.33333333,13.76666667,동해
2020-01-30,1.6,3.125,8,6.025,6.95,8.175,1016.9,68,9.7,서해
2020-01-30,1.533333333,3.4,18.33333333,7.166666667,8.9,8.166666667,1014.733333,67.33333333,14.4,남해
2020-01-31,3,6.3,13.33333333,8.933333333,11.4,6.433333333,1018.066667,63,13.83333333,동해
2020-01-31,1.4,2.975,11.75,6.275,7.15,7.3,1021.775,62,9.95,서해
2020-01-31,1.333333333,2.633333333,3,7.5,9.5,7.5,1020.266667,63,14.4,남해
2020-02-01,2.433333333,5.1,6.333333333,10.5,11.4,5.133333333,1021.366667,54.66666667,13.9,동해
2020-02-01,0.925,2.15,8.75,5.3,6.3,6,1025.6,64,9.7,서해
2020-02-01,1.166666667,2.366666667,2,7.766666667,10.66666667,7.4,1024.9,63.66666667,14.03333333,남해
2020-02-02,1.466666667,3.266666667,2,8.8,10.16666667,4.266666667,1022.5,50.33333333,13.86666667,동해
2020-02-02,0.775,1.85,8.25,5.375,6.175,3.5,1026.475,59.75,9.65,서해
2020-02-02,0.733333333,1.566666667,2,7.166666667,8.9,5.566666667,1025.6,63.66666667,14.03333333,남해
2020-02-03,1.833333333,4.9,15.33333333,7,8.733333333,7.933333333,1022.6,50.66666667,13.63333333,동해
2020-02-03,1.1,2.475,15.75,5.5,6.4,6.6,1027.65,62.5,9.55,서해
